source_id,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,ipd_frac_multi_peak,phot_g_mean_mag,bp_rp,teff_best,logg_best,mh_best,imodel,av_best,rv_best,chi2_best,chi2_prior_best,C_best,logR_iso,sig_logR_iso,teff,teff_err,logg,logg_err,mh,mh_err,av,av_err,rv,rv_err,A_DECam_Y,A_DECam_Y_err,A_DECam_g,A_DECam_g_err,A_DECam_i,A_DECam_i_err,A_DECam_r,A_DECam_r_err,A_DECam_z,A_DECam_z_err,A_VISTA_H,A_VISTA_H_err,A_VISTA_J,A_VISTA_J_err,A_VISTA_Ks,A_VISTA_Ks_err,refined,n_xp,plx_used,n_phot,spec_prior,dm_DECam_Y,dm_DECam_g,dm_DECam_i,dm_DECam_r,dm_DECam_z,dm_VISTA_H,dm_VISTA_J,dm_VISTA_Ks,plx_inflate,D_kpc,D_err,teff_desi,D_med,D_lo,D_hi,D_frac,D_phot,A_i,A_i_err
4043402716413774208,267.90676,-33.14592,0.16946,0.09946,1.70392,1.03696,3,17.24245,2.57836,4200.0,0.0,0.0,131,3.0,3.55,94.41506,0.0,5.5709,2.21903,0.15,4241.20687,107.8046,0.39889,0.65364,0.0,0.0,3.0279,0.16968,3.4055,0.17145,1.30456,0.12732,3.37703,0.22526,1.9084,0.15758,2.49013,0.1833,1.4898,0.13622,0.56869,0.06472,0.88036,0.09364,0.36705,0.04487,True,338,False,6,False,0.02957,0.03824,,0.00858,,-0.00877,-0.12173,0.06706,1.7,5.36296,4.86281,,23.25023,20.79229,24.53874,0.08057,70.1564,1.9084,0.15758
4043402750824954112,267.92393,-33.14173,1.0651,0.02514,42.36964,0.64953,1,9.97911,1.9399,4100.0,1.5,0.0,121,0.9,2.55,87.70146,1.48366,888.47962,1.64009,0.16333,4100.25505,5.04377,1.60444,0.20326,0.0,0.0,0.85328,0.02796,2.38741,0.10673,0.26573,0.01299,1.00686,0.01996,0.46188,0.01559,0.66883,0.0175,0.32626,0.01377,0.095,0.0067,0.16147,0.00965,0.0543,0.00468,True,338,True,3,False,,,,,,0.07205,0.07457,-0.00262,1.7,0.92413,0.0365,,0.92919,0.89382,0.96745,0.03962,1.46476,0.46188,0.01559
4043402785075784448,267.94619,-33.13154,-0.1273,0.12355,-1.03035,1.25885,38,17.21629,2.05327,3700.0,1.0,0.0,68,-0.05,5.55,185.08209,0.0,2.12516,1.80057,0.09007,3739.47653,49.6044,1.73174,1.28787,0.0,0.0,-0.02083,0.11067,3.95244,1.01666,0.02731,0.05025,0.0702,0.12503,0.03939,0.07112,0.0512,0.09166,0.03104,0.05665,0.01198,0.02263,0.0185,0.03451,0.00777,0.01492,False,338,False,5,False,0.10817,,,,0.21262,0.02755,-0.04158,-0.01007,1.7,-9.06653,17.26475,,23.66827,21.79331,24.64862,0.06032,43.33853,0.03939,0.07112
4043396527312371968,267.91531,-33.19473,0.04648,0.03833,1.21282,0.96235,0,15.51629,3.11284,3700.0,4.5,0.0,75,3.3,3.8,226.25641,0.0,46.17589,-0.03097,0.15,3731.63522,46.50526,4.50196,0.09033,0.0,0.0,3.39542,0.12505,3.67922,0.16877,1.53608,0.07188,3.78548,0.15864,2.17576,0.0901,2.79562,0.11343,1.73214,0.07651,0.68217,0.0377,1.04804,0.05367,0.44471,0.02686,True,338,False,8,False,0.00119,0.0864,0.02073,-0.06049,0.02564,0.048,0.07783,0.05779,1.7,15.75198,16.16687,,2.96646,2.61096,3.40637,0.13407,0.13703,2.17576,0.0901
4043396596031820928,267.87227,-33.19985,0.0925,0.05632,1.6424,1.00895,0,16.36933,2.46196,4600.0,3.5,0.0,190,3.2,3.05,107.76911,0.0,5.69701,0.54579,0.08,4695.21721,126.81696,4.00342,0.77405,0.0,0.0,3.31868,0.1265,3.17007,0.11519,1.36233,0.11095,3.7781,0.18277,2.03991,0.13528,2.70921,0.15414,1.57025,0.11813,0.57986,0.05642,0.90704,0.08169,0.36904,0.03902,True,338,False,8,False,0.00071,-0.03326,-0.00769,-0.01434,0.00463,0.01745,-0.02842,0.02722,1.7,9.13243,7.98517,,2.64225,2.29883,3.06201,0.14442,1.4722,2.03991,0.13528
4043396630391576960,267.86326,-33.19741,0.18627,0.02695,6.91165,0.96225,0,14.28112,3.2396,3800.0,3.5,0.0,86,4.3,5.3,369.03017,66.96534,305.97843,0.46903,0.15,3800.045,3.32384,3.49888,0.06226,0.0,0.0,4.29095,0.0511,5.19986,0.14445,2.26691,0.07869,4.65591,0.07222,2.99962,0.08298,3.65715,0.08093,2.49083,0.07994,1.06821,0.04334,1.59843,0.0608,0.71896,0.03118,True,338,True,5,False,,0.17137,,-0.06006,,-0.51441,0.32237,-0.45695,1.7,4.91952,1.10882,,3.01771,2.71182,3.38874,0.11216,0.16834,2.99962,0.08298
4043396634737715072,267.85534,-33.1951,0.02563,0.05441,0.47102,1.06689,0,16.23248,2.55214,4400.0,4.0,0.0,165,3.0,3.05,78.49054,0.0,7.07082,0.21903,0.15,4380.96115,60.88326,3.75442,0.36017,0.0,0.0,2.92807,0.10187,2.9775,0.09148,1.14527,0.0691,3.35845,0.10531,1.7556,0.0804,2.3685,0.08928,1.33227,0.0723,0.47495,0.03652,0.75181,0.05202,0.29825,0.02578,True,338,False,8,False,-0.0066,-0.01777,0.00064,-0.00906,0.00668,0.04079,-0.01282,0.01222,1.7,23.45914,50.90202,,3.08873,2.60174,3.72803,0.18232,0.62272,1.7556,0.0804
4043402402834963456,267.93149,-33.17224,0.29043,0.10341,2.8086,1.10756,0,17.37496,2.36862,4600.0,0.5,0.0,184,3.1,3.3,140.60295,0.0,2.6291,1.96903,0.15,4575.22067,104.1003,0.62951,0.69184,0.0,0.0,3.04543,0.11889,3.30073,0.12971,1.28704,0.09562,3.43303,0.17646,1.90314,0.11962,2.50201,0.14055,1.47622,0.10258,0.55636,0.04817,0.86439,0.06993,0.35675,0.0332,True,338,False,8,False,-0.02625,-0.00233,-0.04253,-0.05348,-0.03963,0.00722,-0.03588,0.04655,1.7,3.25275,1.85997,,22.93652,20.14182,24.44947,0.0939,57.42836,1.90314,0.11962
4043402402952872576,267.93057,-33.17544,0.08457,0.09604,0.88056,1.0858,9,17.4045,1.59545,5900.0,5.0,0.0,359,1.8,2.55,89.78354,0.0,0.29879,-0.28097,0.15,5955.58344,369.46831,4.36143,1.53098,0.0,0.0,1.80763,0.11194,2.59483,0.15722,0.62288,0.1328,2.15807,0.28451,1.02762,0.17627,1.44898,0.21665,0.74779,0.1461,0.23998,0.06392,0.39316,0.09472,0.14318,0.04311,True,338,False,8,False,0.01681,0.00459,0.00473,0.00342,0.0016,-0.00253,0.03109,-0.04761,1.7,9.84582,15.82658,,2.32499,1.88186,2.93429,0.22633,0.95796,1.02762,0.17627
4043402402967419520,267.92465,-33.17846,0.62342,0.07617,8.18496,1.18017,0,16.71108,1.59765,6100.0,4.5,0.0,382,2.2,3.3,114.6857,0.51889,0.69166,0.02792,0.08,6207.9937,257.31575,4.41014,0.29615,0.0,0.0,2.25809,0.13573,3.27289,0.13329,0.95077,0.09079,2.61319,0.19129,1.4132,0.11918,1.8694,0.14589,1.09353,0.09944,0.41032,0.0442,0.63788,0.06517,0.26175,0.02996,True,338,True,8,False,0.02677,0.00435,0.03107,0.03374,0.04238,0.00988,-0.0135,0.01299,1.7,1.56148,0.31571,,1.47461,1.28865,1.70572,0.14142,1.28225,1.4132,0.11918
